                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68293,                0.65455,                      1,                0.64779,              7.854e-05,              7.854e-05,              7.854e-05
                      2,                0.50321,                0.78182,                      1,                0.55664,             8.2931e-05,             8.2931e-05,             8.2931e-05
